GeneSymbol	GeneID	ChemicalName	ChemicalID	CasRN	Interaction	InteractionActions	PubMedIDs
COQ6	51004	2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide	C511621		2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide inhibits the reaction [Vehicle Emissions results in increased expression of COQ6 mRNA]	decreases^reaction|increases^expression	28655636
COQ6	51004	abrine	C496492		abrine results in increased expression of COQ6 mRNA	increases^expression	31054353
COQ6	51004	Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of COQ6 mRNA	decreases^expression	29067470
COQ6	51004	Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone	D002259	370-86-5	Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone results in increased expression of COQ6 mRNA	increases^expression	21308897
COQ6	51004	Cisplatin	D002945	15663-27-1	[Cisplatin co-treated with jinfukang] results in increased expression of COQ6 mRNA	affects^cotreatment|increases^expression	27392435
COQ6	51004	Cisplatin	D002945	15663-27-1	Cisplatin results in increased expression of COQ6 mRNA	increases^expression	27392435
COQ6	51004	Doxorubicin	D004317	23214-92-8	Doxorubicin results in decreased expression of COQ6 mRNA	decreases^expression	29803840
COQ6	51004	epigallocatechin gallate	C045651	989-51-5	epigallocatechin gallate results in increased expression of COQ6 protein	increases^expression	31195006
COQ6	51004	Gasoline	D005742		[[Gasoline co-treated with 1-Butanol] results in increased abundance of [Particulate Matter co-treated with Polycyclic Aromatic Hydrocarbons]] which results in increased expression of COQ6 mRNA	affects^cotreatment|increases^abundance|increases^expression	29432896
COQ6	51004	Hydrogen Peroxide	D006861	7722-84-1	Hydrogen Peroxide results in increased expression of COQ6 mRNA	increases^expression	21308897
COQ6	51004	jinfukang	C544151		[Cisplatin co-treated with jinfukang] results in increased expression of COQ6 mRNA	affects^cotreatment|increases^expression	27392435
COQ6	51004	jinfukang	C544151		jinfukang results in increased expression of COQ6 mRNA	increases^expression	27392435
COQ6	51004	Methyl Methanesulfonate	D008741	66-27-3	Methyl Methanesulfonate results in increased expression of COQ6 mRNA	increases^expression	23649840
COQ6	51004	Particulate Matter	D052638		2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide inhibits the reaction [Particulate Matter results in increased expression of COQ6 mRNA]	decreases^reaction|increases^expression	28655636
COQ6	51004	Particulate Matter	D052638		[[Gasoline co-treated with 1-Butanol] results in increased abundance of [Particulate Matter co-treated with Polycyclic Aromatic Hydrocarbons]] which results in increased expression of COQ6 mRNA	affects^cotreatment|increases^abundance|increases^expression	29432896
COQ6	51004	Particulate Matter	D052638		Particulate Matter results in increased expression of COQ6 mRNA	increases^expression	28655636
COQ6	51004	Phenobarbital	D010634	50-06-6	Phenobarbital affects the expression of COQ6 mRNA	affects^expression	19159669
COQ6	51004	Polycyclic Aromatic Hydrocarbons	D011084		[[Gasoline co-treated with 1-Butanol] results in increased abundance of [Particulate Matter co-treated with Polycyclic Aromatic Hydrocarbons]] which results in increased expression of COQ6 mRNA	affects^cotreatment|increases^abundance|increases^expression	29432896
COQ6	51004	Vehicle Emissions	D001335		2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide inhibits the reaction [Vehicle Emissions results in increased expression of COQ6 mRNA]	decreases^reaction|increases^expression	28655636
COQ6	51004	Vehicle Emissions	D001335		Vehicle Emissions results in increased expression of COQ6 mRNA	increases^expression	28655636
COX4I1	1327	1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one	C095284		1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one inhibits the reaction [Resveratrol results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one	C095284		1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one inhibits the reaction [S-nitro-N-acetylpenicillamine results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	1-methyl-4-phenyl-2,3-dihydropyridinium	C044755	94613-45-3	1-methyl-4-phenyl-2,3-dihydropyridinium results in decreased expression of COX4I1 protein	decreases^expression	21856379
COX4I1	1327	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one	C085911	154447-36-6	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [cobaltiprotoporphyrin results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one	C085911	154447-36-6	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [tricarbonylchloro(glycinato)ruthenium(II) results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	2-amino-14,16-dimethyloctadecan-3-ol	C507616		2-amino-14,16-dimethyloctadecan-3-ol results in decreased expression of COX4I1 protein	decreases^expression	32044396
COX4I1	1327	3-(2,4-dichloro-5-methoxyphenyl)-2-sulfanyl-4(3H)-quinazolinone	C549041		3-(2,4-dichloro-5-methoxyphenyl)-2-sulfanyl-4(3H)-quinazolinone inhibits the reaction [Arsenic Trioxide results in decreased expression of COX4I1 protein]	decreases^expression|decreases^reaction	27318970
COX4I1	1327	6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid	C010643	56305-04-5	6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid results in increased expression of COX4I1 protein	increases^expression	27385396
COX4I1	1327	8-bromocyclic GMP	C016276	31356-94-2	8-bromocyclic GMP results in increased expression of COX4I1 protein	increases^expression	24041027
COX4I1	1327	8-bromocyclic GMP	C016276	31356-94-2	tin protoporphyrin IX inhibits the reaction [8-bromocyclic GMP results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	Acetaminophen	D000082	103-90-2	[Acetaminophen co-treated with Lipopolysaccharides] results in decreased expression of COX4I1 mRNA	affects^cotreatment|decreases^expression	31059760
COX4I1	1327	Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in increased methylation of COX4I1 gene	increases^methylation	28458013
COX4I1	1327	Arsenic Trioxide	D000077237	1327-53-3	3-(2,4-dichloro-5-methoxyphenyl)-2-sulfanyl-4(3H)-quinazolinone inhibits the reaction [Arsenic Trioxide results in decreased expression of COX4I1 protein]	decreases^expression|decreases^reaction	27318970
COX4I1	1327	Arsenic Trioxide	D000077237	1327-53-3	Arsenic Trioxide results in decreased expression of COX4I1 protein	decreases^expression	27318970
COX4I1	1327	Arsenic Trioxide	D000077237	1327-53-3	Arsenic Trioxide results in increased expression of COX4I1 mRNA	increases^expression	20458559
COX4I1	1327	Arsenic Trioxide	D000077237	1327-53-3	Cyclosporine inhibits the reaction [Arsenic Trioxide results in decreased expression of COX4I1 protein]	decreases^expression|decreases^reaction	27318970
COX4I1	1327	Atrazine	D001280	1912-24-9	Atrazine results in decreased expression of COX4I1 mRNA	decreases^expression	22378314
COX4I1	1327	Carbonyl Cyanide m-Chlorophenyl Hydrazone	D002258	555-60-2	Carbonyl Cyanide m-Chlorophenyl Hydrazone results in decreased expression of COX4I1 protein	decreases^expression	27318970
COX4I1	1327	Catechin	D002392	154-23-4	[Catechin co-treated with Grape Seed Proanthocyanidins] results in increased expression of COX4I1 mRNA	affects^cotreatment|increases^expression	24763279
COX4I1	1327	chloropicrin	C100187	76-06-2	chloropicrin results in increased expression of COX4I1 mRNA	increases^expression	26352163
COX4I1	1327	cobaltiprotoporphyrin	C007095	14325-03-2	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [cobaltiprotoporphyrin results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	cobaltiprotoporphyrin	C007095	14325-03-2	cobaltiprotoporphyrin results in increased expression of COX4I1 protein	increases^expression	24041027
COX4I1	1327	cobaltiprotoporphyrin	C007095	14325-03-2	NFE2L2 mutant form inhibits the reaction [cobaltiprotoporphyrin results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	cobaltous chloride	C018021	7646-79-9	cobaltous chloride results in decreased expression of COX4I1 protein	decreases^expression	18515279
COX4I1	1327	Copper	D003300	7440-50-8	[AP1S1 gene mutant form affects the metabolism of Copper] which results in decreased expression of COX4I1 protein	affects^metabolic processing|decreases^expression	23423674
COX4I1	1327	Cyclosporine	D016572	59865-13-3	Cyclosporine inhibits the reaction [Arsenic Trioxide results in decreased expression of COX4I1 protein]	decreases^expression|decreases^reaction	27318970
COX4I1	1327	Deferoxamine	D003676	70-51-9	Deferoxamine inhibits the reaction [EPAS1 protein results in increased degradation of COX4I1 protein]	decreases^reaction|increases^degradation	18515279
COX4I1	1327	Dimethyl Sulfoxide	D004121	67-68-5	Dimethyl Sulfoxide results in increased expression of COX4I1 protein	increases^expression	27385396
COX4I1	1327	Doxorubicin	D004317	23214-92-8	Doxorubicin results in decreased expression of COX4I1 protein	decreases^expression	28456571|29729358
COX4I1	1327	Doxorubicin	D004317	23214-92-8	Erythropoietin inhibits the reaction [Doxorubicin results in decreased expression of COX4I1 protein]	decreases^expression|decreases^reaction	28456571
COX4I1	1327	ebselen	C042986	60940-34-3	ebselen results in increased expression of COX4I1 protein	increases^expression	27385396
COX4I1	1327	Erythropoietin	D004921	11096-26-7	Erythropoietin inhibits the reaction [Doxorubicin results in decreased expression of COX4I1 protein]	decreases^expression|decreases^reaction	28456571
COX4I1	1327	Formaldehyde	D005557	50-00-0	Formaldehyde results in increased expression of COX4I1 mRNA	increases^expression	18045764
COX4I1	1327	Glucose	D005947	50-99-7	Glucose deficiency results in increased expression of COX4I1 mRNA	increases^expression	26811028
COX4I1	1327	gossypol acetic acid	C028178	12542-36-8	ATG5 protein affects the reaction [gossypol acetic acid results in decreased expression of COX4I1 protein]	affects^reaction|decreases^expression	29938581
COX4I1	1327	gossypol acetic acid	C028178	12542-36-8	gossypol acetic acid results in decreased expression of COX4I1 protein	decreases^expression	29938581
COX4I1	1327	Grape Seed Proanthocyanidins	C511402		[Catechin co-treated with Grape Seed Proanthocyanidins] results in increased expression of COX4I1 mRNA	affects^cotreatment|increases^expression	24763279
COX4I1	1327	Hydrogen Peroxide	D006861	7722-84-1	Hydrogen Peroxide results in decreased expression of COX4I1 protein	decreases^expression	18515279
COX4I1	1327	lipopolysaccharide, E coli O55-B5	C482199		lipopolysaccharide, E coli O55-B5 promotes the reaction [Resveratrol results in increased expression of COX4I1 protein]	increases^expression|increases^reaction	24041027
COX4I1	1327	lipopolysaccharide, E coli O55-B5	C482199		lipopolysaccharide, E coli O55-B5 results in increased expression of COX4I1 protein	increases^expression	24041027
COX4I1	1327	lipopolysaccharide, E coli O55-B5	C482199		Resveratrol promotes the reaction [lipopolysaccharide, E coli O55-B5 results in increased expression of COX4I1 protein]	increases^expression|increases^reaction	24041027
COX4I1	1327	lipopolysaccharide, E coli O55-B5	C482199		tin protoporphyrin IX inhibits the reaction [lipopolysaccharide, E coli O55-B5 promotes the reaction [Resveratrol results in increased expression of COX4I1 protein]]	decreases^reaction|increases^expression|increases^reaction	24041027
COX4I1	1327	lipopolysaccharide, E coli O55-B5	C482199		tin protoporphyrin IX inhibits the reaction [Resveratrol promotes the reaction [lipopolysaccharide, E coli O55-B5 results in increased expression of COX4I1 protein]]	decreases^reaction|increases^expression|increases^reaction	24041027
COX4I1	1327	Lipopolysaccharides	D008070		[Acetaminophen co-treated with Lipopolysaccharides] results in decreased expression of COX4I1 mRNA	affects^cotreatment|decreases^expression	31059760
COX4I1	1327	Methotrexate	D008727	59-05-2	Methotrexate results in decreased expression of COX4I1 mRNA	decreases^expression	24449571
COX4I1	1327	Methylcholanthrene	D008748	56-49-5	Methylcholanthrene promotes the reaction [AHR protein binds to COX4I1 promoter]	affects^binding|increases^reaction	20348232
COX4I1	1327	metoprine	C006308		metoprine results in decreased expression of COX4I1 mRNA	decreases^expression	30818834
COX4I1	1327	Mitotane	D008939	53-19-0	Mitotane results in decreased expression of COX4I1 mRNA	decreases^expression	23696597
COX4I1	1327	OSW 1	C106408	145075-81-6	OSW 1 results in increased expression of COX4I1 mRNA	increases^expression	16333034
COX4I1	1327	Poly(amidoamine)	C531249		Poly(amidoamine) results in decreased expression of COX4I1 mRNA	decreases^expression	19643170
COX4I1	1327	Resveratrol	D000077185		1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one inhibits the reaction [Resveratrol results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	Resveratrol	D000077185		HMOX1 mutant form inhibits the reaction [Resveratrol results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	Resveratrol	D000077185		lipopolysaccharide, E coli O55-B5 promotes the reaction [Resveratrol results in increased expression of COX4I1 protein]	increases^expression|increases^reaction	24041027
COX4I1	1327	Resveratrol	D000077185		Resveratrol promotes the reaction [lipopolysaccharide, E coli O55-B5 results in increased expression of COX4I1 protein]	increases^expression|increases^reaction	24041027
COX4I1	1327	Resveratrol	D000077185		tin protoporphyrin IX inhibits the reaction [lipopolysaccharide, E coli O55-B5 promotes the reaction [Resveratrol results in increased expression of COX4I1 protein]]	decreases^reaction|increases^expression|increases^reaction	24041027
COX4I1	1327	Resveratrol	D000077185		tin protoporphyrin IX inhibits the reaction [Resveratrol promotes the reaction [lipopolysaccharide, E coli O55-B5 results in increased expression of COX4I1 protein]]	decreases^reaction|increases^expression|increases^reaction	24041027
COX4I1	1327	Resveratrol	D000077185		tin protoporphyrin IX inhibits the reaction [Resveratrol results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	Rotenone	D012402	83-79-4	CRTC3 protein affects the reaction [Rotenone results in increased expression of COX4I1 mRNA]	affects^reaction|increases^expression	21536665
COX4I1	1327	Rotenone	D012402	83-79-4	CRTC3 protein affects the reaction [Rotenone results in increased expression of COX4I1 protein]	affects^reaction|increases^expression	21536665
COX4I1	1327	Rotenone	D012402	83-79-4	Rotenone results in increased expression of COX4I1 mRNA	increases^expression	18191903|21536665
COX4I1	1327	Rotenone	D012402	83-79-4	Rotenone results in increased expression of COX4I1 protein	increases^expression	21536665
COX4I1	1327	S-nitro-N-acetylpenicillamine	C110881		1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one inhibits the reaction [S-nitro-N-acetylpenicillamine results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	S-nitro-N-acetylpenicillamine	C110881		HMOX1 mutant form inhibits the reaction [S-nitro-N-acetylpenicillamine results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	S-nitro-N-acetylpenicillamine	C110881		S-nitro-N-acetylpenicillamine results in increased expression of COX4I1 protein	increases^expression	24041027
COX4I1	1327	S-nitro-N-acetylpenicillamine	C110881		tin protoporphyrin IX inhibits the reaction [S-nitro-N-acetylpenicillamine results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	sodium bichromate	C016104	10588-01-9	sodium bichromate results in increased expression of COX4I1 mRNA	increases^expression	17685462
COX4I1	1327	Sodium Selenite	D018038	10102-18-8	Sodium Selenite results in increased expression of COX4I1 mRNA	increases^expression	18175754
COX4I1	1327	Temozolomide	D000077204	85622-93-1	COX4I1 protein affects the susceptibility to Temozolomide	affects^response to substance	20870728
COX4I1	1327	Temozolomide	D000077204	85622-93-1	Temozolomide results in increased expression of COX4I1 protein	increases^expression	20870728
COX4I1	1327	Thimerosal	D013849	54-64-8	Thimerosal results in increased expression of COX4I1 mRNA	increases^expression	27188386
COX4I1	1327	tin protoporphyrin IX	C032628	14325-05-4	tin protoporphyrin IX inhibits the reaction [8-bromocyclic GMP results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	tin protoporphyrin IX	C032628	14325-05-4	tin protoporphyrin IX inhibits the reaction [lipopolysaccharide, E coli O55-B5 promotes the reaction [Resveratrol results in increased expression of COX4I1 protein]]	decreases^reaction|increases^expression|increases^reaction	24041027
COX4I1	1327	tin protoporphyrin IX	C032628	14325-05-4	tin protoporphyrin IX inhibits the reaction [Resveratrol promotes the reaction [lipopolysaccharide, E coli O55-B5 results in increased expression of COX4I1 protein]]	decreases^reaction|increases^expression|increases^reaction	24041027
COX4I1	1327	tin protoporphyrin IX	C032628	14325-05-4	tin protoporphyrin IX inhibits the reaction [Resveratrol results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	tin protoporphyrin IX	C032628	14325-05-4	tin protoporphyrin IX inhibits the reaction [S-nitro-N-acetylpenicillamine results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	Tretinoin	D014212	302-79-4	[IFNB1 protein co-treated with Tretinoin] results in increased expression of COX4I1 protein	affects^cotreatment|increases^expression	16826196
COX4I1	1327	tricarbonylchloro(glycinato)ruthenium(II)	C476530		2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [tricarbonylchloro(glycinato)ruthenium(II) results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	tricarbonylchloro(glycinato)ruthenium(II)	C476530		NFE2L2 mutant form inhibits the reaction [tricarbonylchloro(glycinato)ruthenium(II) results in increased expression of COX4I1 protein]	decreases^reaction|increases^expression	24041027
COX4I1	1327	tricarbonylchloro(glycinato)ruthenium(II)	C476530		tricarbonylchloro(glycinato)ruthenium(II) results in increased expression of COX4I1 protein	increases^expression	24041027
COX4I1	1327	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased expression of COX4I1 mRNA	increases^expression	23179753
COX4I1	1327	XCT790	C488234		XCT790 results in decreased expression of COX4I1 mRNA	decreases^expression	30818834
COX5A	9377	Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of COX5A mRNA	decreases^expression	25704631
COX5A	9377	Arsenic	D001151	7440-38-2	COX5A gene SNP affects the susceptibility to Arsenic	affects^response to substance	29751399
COX5A	9377	Arsenic	D001151	7440-38-2	[COX5A gene SNP affects the susceptibility to Arsenic] which affects the abundance of Arsenicals	affects^abundance|affects^response to substance	29751399
COX5A	9377	Arsenicals	D001152		[COX5A gene SNP affects the susceptibility to Arsenic] which affects the abundance of Arsenicals	affects^abundance|affects^response to substance	29751399
COX5A	9377	Arsenic Trioxide	D000077237	1327-53-3	Arsenic Trioxide results in increased expression of COX5A mRNA	increases^expression	22521957
COX5A	9377	Atrazine	D001280	1912-24-9	Atrazine results in decreased expression of COX5A mRNA	decreases^expression	22378314
COX5A	9377	Capsaicin	D002211	404-86-4	Capsaicin results in increased expression of COX5A protein	increases^expression	18991268
COX5A	9377	chloropicrin	C100187	76-06-2	chloropicrin results in decreased expression of COX5A mRNA	decreases^expression	26352163
COX5A	9377	cobaltous chloride	C018021	7646-79-9	cobaltous chloride results in decreased expression of COX5A protein	decreases^expression	16622835
COX5A	9377	Copper	D003300	7440-50-8	[NSC 689534 binds to Copper] which results in decreased expression of COX5A mRNA	affects^binding|decreases^expression	20971185
COX5A	9377	dibutyldi(4-chlorobenzohydroxamato)tin(IV)	C542282		dibutyldi(4-chlorobenzohydroxamato)tin(IV) results in decreased expression of COX5A protein	decreases^expression	22732634
COX5A	9377	Doxorubicin	D004317	23214-92-8	COX5A protein affects the susceptibility to Doxorubicin	affects^response to substance	16217747
COX5A	9377	Doxorubicin	D004317	23214-92-8	Doxorubicin affects the expression of COX5A protein	affects^expression	29385562
COX5A	9377	Formaldehyde	D005557	50-00-0	Formaldehyde results in decreased expression of COX5A mRNA	decreases^expression	23649840
COX5A	9377	gossypol acetic acid	C028178	12542-36-8	gossypol acetic acid results in decreased expression of COX5A protein	decreases^expression	29938581
COX5A	9377	Isotretinoin	D015474	4759-48-2	Isotretinoin results in decreased expression of COX5A mRNA	decreases^expression	20436886
COX5A	9377	methylmercuric chloride	C004925	115-09-3	methylmercuric chloride results in decreased expression of COX5A mRNA	decreases^expression	28001369
COX5A	9377	Methyl Methanesulfonate	D008741	66-27-3	Methyl Methanesulfonate results in decreased expression of COX5A mRNA	decreases^expression	23649840
COX5A	9377	microcystin RR	C063855		microcystin RR results in decreased expression of COX5A protein	decreases^expression	19111056
COX5A	9377	NSC 689534	C558013		[NSC 689534 binds to Copper] which results in decreased expression of COX5A mRNA	affects^binding|decreases^expression	20971185
COX5A	9377	Particulate Matter	D052638		Particulate Matter results in decreased expression of COX5A mRNA	decreases^expression	29703138
COX5A	9377	perfluorooctanoic acid	C023036	335-67-1	perfluorooctanoic acid results in decreased expression of COX5A protein	decreases^expression	26879310
COX5A	9377	pinosylvin	C049032	102-61-4	pinosylvin results in decreased expression of COX5A mRNA	decreases^expression	23333577
COX5A	9377	Rotenone	D012402	83-79-4	Rotenone results in increased expression of COX5A mRNA	increases^expression	18191903
COX5A	9377	Sodium Selenite	D018038	10102-18-8	Sodium Selenite results in increased expression of COX5A mRNA	increases^expression	18175754
COX5A	9377	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased expression of COX5A mRNA	increases^expression	23179753
COX5A	9377	Vinblastine	D014747	865-21-4	COX5A protein affects the susceptibility to Vinblastine	affects^response to substance	16217747
COX5A	9377	Zidovudine	D015215	30516-87-1	Zidovudine results in decreased expression of COX5A protein	decreases^expression	7807166
COX5B	1329	1-methyl-4-phenyl-2,3-dihydropyridinium	C044755	94613-45-3	1-methyl-4-phenyl-2,3-dihydropyridinium results in decreased expression of COX5B mRNA	decreases^expression	21856379
COX5B	1329	3-(4'-hydroxy-3'-adamantylbiphenyl-4-yl)acrylic acid	C472791		3-(4'-hydroxy-3'-adamantylbiphenyl-4-yl)acrylic acid results in decreased expression of COX5B mRNA	decreases^expression	12958071
COX5B	1329	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	D015123	55097-80-8	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide results in decreased expression of COX5B mRNA	decreases^expression	20018196
COX5B	1329	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	D015123	55097-80-8	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide results in increased expression of COX5B mRNA	increases^expression	19150397
COX5B	1329	Atrazine	D001280	1912-24-9	Atrazine affects the expression of COX5B mRNA	affects^expression	27114639
COX5B	1329	Atrazine	D001280	1912-24-9	Atrazine results in decreased expression of COX5B mRNA	decreases^expression	22378314
COX5B	1329	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in decreased methylation of COX5B promoter	decreases^methylation	27901495
COX5B	1329	bisphenol A	C006780	80-05-7	bisphenol A affects the expression of COX5B mRNA	affects^expression	30903817
COX5B	1329	Cadmium	D002104	7440-43-9	Cadmium results in decreased expression of COX5B mRNA	decreases^expression	23369406
COX5B	1329	chloropicrin	C100187	76-06-2	chloropicrin affects the expression of COX5B mRNA	affects^expression	26352163
COX5B	1329	chloropicrin	C100187	76-06-2	chloropicrin results in decreased expression of COX5B mRNA	decreases^expression	28476498
COX5B	1329	Decitabine	D000077209	2353-33-5	Decitabine results in increased expression of COX5B protein	increases^expression	19294695
COX5B	1329	dicrotophos	C000944	3735-78-2	dicrotophos results in decreased expression of COX5B mRNA	decreases^expression	28302478
COX5B	1329	Environmental Pollutants	D004785		Environmental Pollutants affects the expression of COX5B mRNA	affects^expression	19118595
COX5B	1329	Estradiol	D004958	50-28-2	Estradiol results in decreased expression of COX5B mRNA	decreases^expression	23019147
COX5B	1329	Homocysteine	D006710	454-28-4	[Methionine deficiency co-treated with Homocysteine] affects the expression of COX5B protein	affects^cotreatment|affects^expression	17116298
COX5B	1329	Hydrogen Peroxide	D006861	7722-84-1	[Hydrogen Peroxide co-treated with Theophylline] results in decreased expression of COX5B protein	affects^cotreatment|decreases^expression	18951874
COX5B	1329	Isotretinoin	D015474	4759-48-2	Isotretinoin results in decreased expression of COX5B mRNA	decreases^expression	20436886
COX5B	1329	Magnetite Nanoparticles	D058185		[Succimer co-treated with Magnetite Nanoparticles] results in decreased expression of COX5B mRNA	affects^cotreatment|decreases^expression	26378955
COX5B	1329	Methionine	D008715	63-68-3	[Methionine deficiency co-treated with Homocysteine] affects the expression of COX5B protein	affects^cotreatment|affects^expression	17116298
COX5B	1329	myricetin	C040015	529-44-2	myricetin results in increased expression of COX5B protein	increases^expression	29698783
COX5B	1329	ochratoxin A	C025589	303-47-9	ochratoxin A results in increased expression of COX5B mRNA	increases^expression	17316727
COX5B	1329	Particulate Matter	D052638		Particulate Matter results in decreased expression of COX5B mRNA	decreases^expression	24769257
COX5B	1329	perfluorooctanoic acid	C023036	335-67-1	perfluorooctanoic acid results in decreased expression of COX5B protein	decreases^expression	26879310
COX5B	1329	Rotenone	D012402	83-79-4	Rotenone results in increased expression of COX5B mRNA	increases^expression	18191903
COX5B	1329	Succimer	D004113	304-55-2	[Succimer co-treated with Magnetite Nanoparticles] results in decreased expression of COX5B mRNA	affects^cotreatment|decreases^expression	26378955
COX5B	1329	tetrathiomolybdate	C020809	16330-92-0	tetrathiomolybdate analog results in increased expression of COX5B mRNA	increases^expression	19323979
COX5B	1329	Theophylline	D013806	58-55-9	[Hydrogen Peroxide co-treated with Theophylline] results in decreased expression of COX5B protein	affects^cotreatment|decreases^expression	18951874
COX5B	1329	trichostatin A	C012589	58880-19-6	trichostatin A results in increased expression of COX5B protein	increases^expression	19294695
COX5B	1329	tris(2-butoxyethyl) phosphate	C013320	78-51-3	tris(2-butoxyethyl) phosphate results in increased expression of COX5B mRNA	increases^expression	29024780
COX5B	1329	Valproic Acid	D014635	99-66-1	Valproic Acid affects the expression of COX5B mRNA	affects^expression	25979313
COX5B	1329	Vorinostat	D000077337		Vorinostat results in increased expression of COX5B protein	increases^expression	17593366|20543569
COX5B	1329	Zidovudine	D015215	30516-87-1	Zidovudine results in decreased expression of COX5B protein	decreases^expression	7807166
COX6A1	1337	10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone	C471674		10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased expression of COX6A1 mRNA	increases^expression	23088786
COX6A1	1337	5-hydroxythalidomide	C544471		5-hydroxythalidomide binds to COX6A1 protein	affects^binding	27464947
COX6A1	1337	chloropicrin	C100187	76-06-2	chloropicrin results in increased expression of COX6A1 mRNA	increases^expression	26352163
COX6A1	1337	Doxorubicin	D004317	23214-92-8	Doxorubicin results in increased expression of COX6A1 mRNA	increases^expression	29803840
COX6A1	1337	Estradiol	D004958	50-28-2	Estradiol results in decreased expression of COX6A1 mRNA	decreases^expression	23019147
COX6A1	1337	Isotretinoin	D015474	4759-48-2	Isotretinoin results in decreased expression of COX6A1 mRNA	decreases^expression	20436886
COX6A1	1337	Lactic Acid	D019344	50-21-5	Lactic Acid results in increased expression of COX6A1 mRNA	increases^expression	30851411
COX6A1	1337	Methotrexate	D008727	59-05-2	Methotrexate results in decreased expression of COX6A1 mRNA	decreases^expression	17400583
COX6A1	1337	MT19c compound	C568376		MT19c compound results in decreased expression of COX6A1 mRNA	decreases^expression	21781307
COX6A1	1337	OSW 1	C106408	145075-81-6	OSW 1 results in increased expression of COX6A1 mRNA	increases^expression	16333034
COX6A1	1337	Particulate Matter	D052638		Particulate Matter results in decreased expression of COX6A1 mRNA	decreases^expression	29703138
COX6A1	1337	Sarin	D012524	107-44-8	Sarin results in decreased expression of COX6A1 mRNA	decreases^expression	19522546
COX6A1	1337	Selenium	D012643	7782-49-2	Selenium results in decreased expression of COX6A1 mRNA	decreases^expression	19244175
COX6A1	1337	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased expression of COX6A1 mRNA	increases^expression	23179753|28001369
